"","Total","2016","2017","2018","2019","2020","2021","2022","2023","gen_only?","avg_demand","D_hrs_missing"
"PACE",0.624034876338432,0.592556862243544,0.651779592876772,0.608565366899364,0.645536142202168,0.596777582766755,0.586812192487738,0.535171811187636,0.504031084648596,"N",5581.16066686923,0
"PACW",1.0996288853027,0.852048582145282,0.922489706827726,0.854170715464433,1.12213429967972,1.10127040510637,1.13381244261901,1.19673352035149,1.24523801964559,"N",2360.81639959311,0
"PGE",0.372831857692583,0.456873355852342,0.417517117424609,0.473342103873826,0.373592600384542,0.266576424537634,0.30024660557963,0.249658542162462,0.259652934923879,"N",2394.8021321849,0
"PJM",0.171222924498741,0.151257809980454,0.192947573598529,0.207036224477846,0.247830766674724,0.0784642565355388,0.0697210081942388,0.10927337138989,0.129252532498496,"N",90978.1174683277,0
"PNM",0.860106738580252,0.54721555660271,0.690034717903139,0.91201949900439,0.888519877601557,0.883521801796984,0.831662169143668,0.8821633688126,0.955413508453087,"N",1614.73713274149,0
"PSCO",0.246130910900097,0.283796526552756,0.275316583059062,0.234438781822032,0.231513182198924,0.254466948499243,0.226358785721443,0.210659125231989,0.0939637149450431,"N",5176.66467627515,0
"PSEI",0.507588739604679,0.454804125156979,0.494068759426427,0.418231029586492,0.484866845108822,0.0951147814916233,0.498320559129924,0.487069483583463,0.536294579278588,"N",2628.06247275321,0
"SC",0.929294378677703,0.843564371644553,0.92388047049872,0.879225582098411,1.01398792168735,1.00716591571518,0.929796391483402,0.936279914686054,0.876047932875809,"N",2674.60629879652,0
"SCEG",0.402501670019185,0.33939259779261,0.372700605228633,0.383749578391593,0.397340894231225,0.411659364106945,0.415633977913988,0.43550512318348,0.40617030821009,"N",2780.47033568041,0
"SCL",0.459606820109887,0.454747245203063,0.420475500248792,0.461515039594922,0.454802422925197,0.469081241019994,0.497279421415044,0.404298587667099,0.419983633409718,"N",1092.41102461128,0
"SEC",0.0406159246856967,0.664297129785803,-36.3815424042913,1.01593745212542,0.470770386410812,0.26943678680328,0.441324365868929,0.484360198094991,0.545984483024197,"N",190.170297369777,0
"SEPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"SOCO",0.221381374148189,0.194616121138585,0.20691891097929,0.218651774153002,0.22293348187243,0.242244611723106,0.219752084682527,0.24940152134508,0.204419954976494,"N",26371.8360965428,0
"SPA",0.601780093097322,0.521832467711607,0.664786643548108,0.575377068598653,0.0592187024533282,0.251848773311342,0.364966779208711,0.70207620357838,0.255849219454882,"N",66.7881025668124,0
