"","Total","2016","2017","2018","2019","2020","2021","2022","2023","gen_only?","avg_demand","TI_hrs_missing","D_hrs_missing"
"FPC",0.24395467995431,0.255379036001381,0.261686202508463,0.263357761639669,0.245848687928242,0.245958181026693,0.228336112528529,0.197139235501923,0.242417496502461,"N",6247.34830970844,24,24
"FPL",0.0155375398316784,0.0452515440198765,0.0362388456435558,0.00733109359917752,0.00610495514792952,0.00331595850241743,0.00325505033166313,0.00362240860046795,0.00229184879936195,"N",15082.1916666667,48,48
"GCPD",0.0240924563981181,0.00912235862957256,0.0169122926139684,0.0171255631351117,0.03295449947634,0.00369263921041687,0.0141887431509518,0.0170114440859326,0.0618803096333575,"N",623.424561079039,24,24
"GLHB",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"GRID",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"GRIF",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"GRMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"GVL",0.129292187179096,0.228882101262463,0.192066100683841,0.0603933453501775,0.111074458817338,0.119227595810277,0.0963825113116022,0.0856195429287573,0.10644533389017,"N",225.194961491208,2813,2813
"GWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"HGMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
"HST",0.996976343774176,0.987191359439611,0.998263269508337,0.999504364249793,0.999269223758915,0.998369629477898,0.999741874926669,0.999662746496177,0.999301608670165,"N",66.3224698468896,721,720
"IID",0.0132646870269881,0.00767854639599779,0.00726019271984799,0.0269105310927143,0.0121487578334484,0.0182052065284368,0.0202605785633612,0.00628944866172168,0.0128605568950675,"N",422.044876283076,168,168
"IPCO",0.288455980890388,0.321082798992217,0.215205721597378,0.227170954415464,0.216122371560138,0.268210221763418,0.339645020309267,0.403687468417789,0.268943552595727,"N",1999.86687715497,25,25
"ISNE",0.166073292886646,0.163173239998423,0.163933708777405,0.171502281038725,0.192283291534075,0.201183757017979,0.158337822849738,0.143254351518124,0.135644635248097,"N",13626.7206758524,24,24
"JEA",0.204493252529166,0.0664235746482779,0.0622529379681006,0.270191237581345,0.331046197119339,0.149438629716513,0.250651076960441,0.283308840304954,0.307110208583104,"N",1503.58101377862,86,75
"LDWP",0.189705028440383,0.167689554286384,0.15024515781352,0.157306250808923,0.146540186760354,0.165745787643295,0.185415565157569,0.245882666485439,0.274097447039061,"N",3058.58857391971,299,292
"LGEE",0.0438613934620566,0.00185287866642814,0.00114336633470466,0.00189366533163564,0.0251296673042515,0.0567235877181248,0.0713657051240953,0.0855879364105151,0.117680316755977,"N",4071.66487331035,60,44
"MISO",0.0640192714822,0.0671055999434007,0.0770369868364737,0.0579135335768452,0.0770896100998272,0.0905425703553315,0.0552912055870532,0.0485633845724473,0.0593597014251232,"N",73946.8672849292,24,24
"NEVP",0.170938409869347,0.165479686150174,0.220387503684186,0.198542237285349,0.170658996873914,0.174283209102268,0.168894754381369,0.171242070012404,0.145337776778684,"N",4306.14584461736,241,241
"NSB",0.998744867797016,0.999888911518024,1.00156439674401,0.99166888695986,1.0019147917664,0.855093488072212,NA,NA,NA,"N",47.2020984135792,1901,1829
"NWMT",0.0090890503728734,0.00492878329662767,0.00378881369261194,0.00615374916679757,0.0115364646396466,0.0254339456320245,0.020875715197949,0.00332001727261326,0.00131406561672562,"N",1337.34517880497,24,24
"NYIS",0.162484074278424,0.155218378001867,0.176095398535622,0.174735381309904,0.157722186359517,0.14384942513421,0.183527249620772,0.185421654582143,0.15948961732799,"N",17672.2477554563,24,24
"OVEC",0,0,0,0,NA,NA,NA,NA,NA,"N",51.6086666444274,6406,6526
"PACE",0.0478499688879009,0.0439229825899538,0.0669528139868611,0.0531680120031905,0.0652166610371896,0.0599763328814256,0.0293376685180115,0.0205141071955473,0.044122363398658,"N",5581.16066686923,650,192
"PACW",0.375687419344111,0.141696615376007,0.130549476201569,0.216591588725647,0.356932544640092,0.404720835326535,0.389940129181344,0.609462946593522,0.750493971630207,"N",2361.05800653595,2187,192
"PGE",0.697766364844991,0.714487243455641,0.752925680573287,0.6737615671112,0.729893250702469,0.745914901612093,0.713893707747192,0.746428091668682,0.650126606185097,"N",2394.8021321849,792,743
