"","Total","2016","2017","2018","2019","2020","2021","2022","2023","gen_only?","avg_demand","D_hrs_missing"
"PNM",1.50592819535955,0.951892909004966,1.24759308485163,1.4929670524554,1.41730525426808,1.37761230627023,1.35969732193546,1.50304383053997,1.62459781764945,"N",1618.50884176587,0
"PSCO",0.257699362627379,0.0356881471225005,0.021538108486997,0.0570651052469911,0.135943924091833,0.247943922340516,0.375773521941193,0.527274979992516,0.518578381837066,"N",5176.66467627515,0
"PSEI",0.347344356975457,0.220466524523491,0.298448210893152,0.186205654691696,0.276119232459177,0.777933791661817,0.40149658751821,0.395964252554778,0.413565795079355,"N",2628.06247275321,0
"SC",1.15812844602467,1.18803313102149,1.19373043620806,1.15377461850888,1.18491796592953,1.20327842505772,1.1672649466924,1.08853131066456,1.03019520560773,"N",2674.60629879652,0
"SCEG",0.332591115225373,0.156504093102311,0.234938872948467,0.36998893908115,0.514507179936625,0.500089589224141,0.397781843650805,0.312459877704641,0.148026383169978,"N",2780.47033568041,0
"SCL",0.216132867742144,0.270667622519957,0.134158211615906,0.253778411975064,0.213286899993104,0.263218465236783,0.331610273352781,0.0945106523730832,0.162834938400444,"N",1092.41102461128,0
"SEC",0.486340706113841,0.593725347949341,0.223333166744555,1.09407444391475,0.701051839596726,0.739486730498894,0.836346591778029,0.965973937363321,0.521134446641769,"N",190.170297369777,0
"SEPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"SOCO",1.36393767528714,1.54885130021716,1.25100858751983,1.26806954309506,1.33888306397303,1.37758194173522,1.23228240311088,1.28557664206391,1.26326666911545,"N",26371.8360965428,0
"SPA",0.724299787450793,0.709075102557403,0.721097117148368,0.720667912066666,0.258086952219057,0.660927855095178,0.337490773276803,0.705118519591893,0.464464494121795,"N",66.7881025668124,0
"SRP",1.83056860360693,1.30243548325812,1.4091349883518,1.42580516292634,1.09779882439494,1.13603734141942,1.60698966478738,1.60890537548995,1.68059777566537,"N",3570.61029265873,0
"SWPP",1.70985869397978,1.54071391461684,1.77316607631698,1.87419194848623,1.60758515676617,0.831072394601204,1.46769780128589,1.62019259507057,1.57826993924664,"N",30784.6651909722,0
"TAL",0.00201674947783838,0.00036887441390383,0.00409794610141264,4.19354779782653e-05,0.00477044889317749,0.00318177828531432,0.00252595969633217,0,5.61111246381447e-05,"N",317.553126279773,0
"TEC",0.812730556394419,0.766097651126755,0.681857804925509,1.28272687134776,1.03049156818232,0.787968111010294,0.876864008333624,0.66401427519093,0.448766627792701,"N",2481.26436979008,0
"TEPC",1.48165006435386,1.32709892998872,1.32301518692589,1.32586377135271,1.50437499008221,1.46496037096254,1.44837767583641,1.48113253768763,1.59394653719499,"N",1544.9337320334,0
"TIDC",0.57262698291611,0.645585447931885,0.667872980819357,0.640511026625973,0.587478228215028,0.554803319342442,0.439725104888237,0.449853677647245,0.528684570800503,"N",315.424402552281,0
"TPWR",0.0113452525847867,0.000770503938767484,0.00415706111492129,0.0233146842141326,0.00388638196871161,0.0331596584412362,0.00289506824926608,0.0151660802189225,0.00272653664429177,"N",556.383515859281,0
"TVA",0.662470948182946,0.621040697108111,0.778885442143597,0.751187264099012,0.708942267177332,0.646927370820167,0.598937071946264,0.467111774482548,0.587114799334654,"N",18060.997805197,0
"WACM",1.44995797105069,0.874032232636444,0.715414012891652,1.39999762072947,1.30910519420177,1.24055425975401,1.22042730344318,1.46896833212936,1.14480809426794,"N",2845.91032551258,0
"WALC",1.40685405627825,1.37070819511501,1.38007254773102,1.29386887482188,1.28581778326098,1.32367118320899,1.21816828799898,1.25085736323936,1.46194652109786,"N",1059.48943140985,0
"WAUW",0.804694302717666,0.220838270300211,0.342770632269501,0.726982859238863,0.792814771444641,0.844841528718551,0.599249209252243,0.706096321589987,0.610932838550138,"N",92.6547419316485,0
"WWA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
"YAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA
